model,text,time,wer,cer,bleu_avg,rouge1_avg_f1,rougeL_avg_f1,levenshtein_avg
Whisper Tiny (OpenAI), .,0.7497682571411133,1.0,0.9807692307692307,0.0,0.0,0.0,50.0
Whisper Distilled IT (bofenghuang), ...,12.638766527175903,1.0,0.9807692307692307,0.0,0.0,0.0,50.0
Faster Whisper Tiny (Turbo), anche io poi si rivelò a son e lo bandida reño.,0.5882461071014404,0.5,0.21153846153846154,0.05696822651325549,0.5,0.5,12.0
Whisper Tiny (OpenAI), you,0.25385189056396484,1.0,0.9818181818181818,0.0,0.0,0.0,107.0
Whisper Distilled IT (bofenghuang), ...,10.403450965881348,1.0,0.990909090909091,0.0,0.0,0.0,108.0
Faster Whisper Tiny (Turbo), sono presenti alcuni plastici riproducenti battaglia medievali tra lucchesi e modenesi risalenti al medirevo.,0.8910727500915527,0.21428571428571427,0.02727272727272727,0.6162607099729586,0.7857142857142857,0.7857142857142857,4.0
Whisper Tiny (OpenAI), you,0.8307368755340576,1.0,0.9661016949152542,0.0,0.0,0.0,56.0
Whisper Distilled IT (bofenghuang), ...,12.428199768066406,1.0,0.9830508474576272,0.0,0.0,0.0,57.0
Faster Whisper Tiny (Turbo), lex bitor ha sonato tutti gli strumenti nella canzone.,0.7785401344299316,0.375,0.15254237288135594,0.4671379777282001,0.631578947368421,0.631578947368421,10.0
Whisper Tiny (OpenAI), you,0.7352983951568604,1.0,0.9565217391304348,0.0,0.0,0.0,43.0
Whisper Distilled IT (bofenghuang), ...,13.447762727737427,1.0,0.9782608695652174,0.0,0.0,0.0,44.0
Faster Whisper Tiny (Turbo), ando seguente tornano valente in l'ogonca,0.6121759414672852,1.0,0.34782608695652173,0.0,0.2857142857142857,0.14285714285714285,16.0
Whisper Tiny (OpenAI), you,0.31336379051208496,1.0,0.9634146341463414,0.0,0.0,0.0,78.0
Whisper Distilled IT (bofenghuang), ...,12.530295133590698,1.0,0.975609756097561,0.0,0.0,0.0,79.0
Faster Whisper Tiny (Turbo)," solo la marina militare italiane, l'aro e al neve possiedono unità di questo tipo.",0.6826214790344238,0.42857142857142855,0.13414634146341464,0.3661926362999429,0.689655172413793,0.689655172413793,12.0
